113 of 3321 | time used: 90.6
114 of 3321 | time used: 98.2
117 of 3321 | time used: 78.3
118 of 3321 | time used: 79.8
120 of 3321 | time used: 87.6
119 of 3321 | time used: 91.4
121 of 3321 | time used: 78.2
123 of 3321 | time used: 76.6
124 of 3321 | time used: 66.9
122 of 3321 | time used: 90.2
126 of 3321 | time used: 69.3
125 of 3321 | time used: 93.7
127 of 3321 | time used: 90.1
128 of 3321 | time used: 101.1
129 of 3321 | time used: 83.2
130 of 3321 | time used: 83.1
132 of 3321 | time used: 78.3
131 of 3321 | time used: 87.8
133 of 3321 | time used: 93.3
134 of 3321 | time used: 78.4
135 of 3321 | time used: 69.9
136 of 3321 | time used: 67
137 of 3321 | time used: 93.5
138 of 3321 | time used: 83.5
139 of 3321 | time used: 85.3
140 of 3321 | time used: 90
143 of 3321 | time used: 61.7
141 of 3321 | time used: 81.2
142 of 3321 | time used: 85.2
146 of 3321 | time used: 63.2
144 of 3321 | time used: 99.5
145 of 3321 | time used: 81.2
149 of 3321 | time used: 67.9
148 of 3321 | time used: 79.2
147 of 3321 | time used: 96.6
150 of 3321 | time used: 84.3
151 of 3321 | time used: 87.5
152 of 3321 | time used: 78.5
153 of 3321 | time used: 79.6
154 of 3321 | time used: 91.4
155 of 3321 | time used: 80
157 of 3321 | time used: 66.9
156 of 3321 | time used: 78
158 of 3321 | time used: 67.1
159 of 3321 | time used: 92
160 of 3321 | time used: 85.2
161 of 3321 | time used: 84.1
164 of 3321 | time used: 77.5
166 of 3321 | time used: 72.7
162 of 3321 | time used: 83.2
165 of 3321 | time used: 83
163 of 3321 | time used: 94.3
168 of 3321 | time used: 76.1
167 of 3321 | time used: 94.8
169 of 3321 | time used: 90.4
171 of 3321 | time used: 70.6
170 of 3321 | time used: 86.2
173 of 3321 | time used: 84.9
172 of 3321 | time used: 99.5
174 of 3321 | time used: 109.9
175 of 3321 | time used: 78.4
178 of 3321 | time used: 67.3
177 of 3321 | time used: 72.5
179 of 3321 | time used: 70.8
176 of 3321 | time used: 101
181 of 3321 | time used: 68.8
180 of 3321 | time used: 95.2
182 of 3321 | time used: 66.5
183 of 3321 | time used: 77.1
185 of 3321 | time used: 68.7
184 of 3321 | time used: 81.4
186 of 3321 | time used: 82.7
187 of 3321 | time used: 89.3
188 of 3321 | time used: 97.4
189 of 3321 | time used: 85.8
190 of 3321 | time used: 90.7
193 of 3321 | time used: 72.8
191 of 3321 | time used: 92.5
192 of 3321 | time used: 95.4
195 of 3321 | time used: 64.1
194 of 3321 | time used: 96.5
197 of 3321 | time used: 67.2
196 of 3321 | time used: 81
198 of 3321 | time used: 79.1
199 of 3321 | time used: 81.2
200 of 3321 | time used: 80.7
201 of 3321 | time used: 77.2
202 of 3321 | time used: 90.3
206 of 3321 | time used: 57.7
204 of 3321 | time used: 85
203 of 3321 | time used: 91
205 of 3321 | time used: 80.2
207 of 3321 | time used: 67.4
209 of 3321 | time used: 80.5
212 of 3321 | time used: 52.3
208 of 3321 | time used: 97.1
210 of 3321 | time used: 86.6
211 of 3321 | time used: 74.1
213 of 3321 | time used: 75
214 of 3321 | time used: 81.8
216 of 3321 | time used: 75.4
215 of 3321 | time used: 103.7
218 of 3321 | time used: 74.5
219 of 3321 | time used: 73.8
217 of 3321 | time used: 91.1
220 of 3321 | time used: 79.8
221 of 3321 | time used: 73.3
222 of 3321 | time used: 85.8
224 of 3321 | time used: 72.8
223 of 3321 | time used: 86.7
225 of 3321 | time used: 79.6
226 of 3321 | time used: 77
229 of 3321 | time used: 66
227 of 3321 | time used: 86
228 of 3321 | time used: 92.9
230 of 3321 | time used: 84.7
231 of 3321 | time used: 79.3
232 of 3321 | time used: 71.5
234 of 3321 | time used: 67
235 of 3321 | time used: 77.5
233 of 3321 | time used: 90.5
236 of 3321 | time used: 76.6
237 of 3321 | time used: 72.6
238 of 3321 | time used: 75.6
239 of 3321 | time used: 72
241 of 3321 | time used: 74.2
240 of 3321 | time used: 86.7
243 of 3321 | time used: 68.7
242 of 3321 | time used: 74.2
244 of 3321 | time used: 80
245 of 3321 | time used: 76.5
246 of 3321 | time used: 83.6
248 of 3321 | time used: 66.9
249 of 3321 | time used: 76.3
247 of 3321 | time used: 99.8
251 of 3321 | time used: 88.2
252 of 3321 | time used: 69.8
253 of 3321 | time used: 73
250 of 3321 | time used: 94.3
255 of 3321 | time used: 64.8
254 of 3321 | time used: 84.6
256 of 3321 | time used: 70
257 of 3321 | time used: 75
