"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.225,10,0.375,5
2,0.2,3,0.425,1
3,0.25,2,0.4,1
4,NA,1,NA,NA
5,0.3,3,0.4,1
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,1,NA,NA
9,NA,NA,NA,NA
