"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.3,3,0.425,1
2,NA,NA,NA,NA
3,NA,NA,NA,NA
4,NA,1,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,0.325,2,0.325,1
8,NA,1,NA,NA
9,NA,1,NA,NA
