"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.075,15,0.2,8
2,0.2,9,0.375,4
3,0.2,10,0.325,5
4,NA,1,NA,NA
5,0.4,2,0.35,1
6,0.225,6,0.3,3
7,0.325,2,0.45,1
8,0.15,3,0.375,1
9,NA,NA,NA,NA
