"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"11H00105",1,"0.9","0.8",0.097,0.802919708029197,1,0,"Low","yes",0.494,0.506
"11H00105",2,"0.675","0.35",0.184,0.802919708029197,1,0,"High","no",0.503,0.497
"11H00105",3,"0.7","0.4",0.232,0.802919708029197,1,0,"High","no",0.499,0.501
"11H00105",4,"0.8","0.6",0.178,0.802919708029197,1,0,"High","no",0.511,0.489
"11H00105",5,"0.9","0.8",0.126,0.802919708029197,1,0,"High","no",0.476,0.524
"11H00105",6,NA,NA,NA,0.802919708029197,1,0,NA,NA,NA,NA
"11H00105",7,NA,NA,NA,0.802919708029197,1,0,NA,NA,NA,NA
"11H00105",8,"0.825","0.65",0.192,0.802919708029197,1,0,"High","no",0.494,0.506
"11H00105",9,NA,NA,NA,0.802919708029197,1,0,NA,NA,NA,NA
