"ID_ins","coords.x1","coords.x2","linkObs","linkDist"
"17H01735",725613.558,9680076.104,5,892.99
"17H01735",725649.3366,9679939.864,5,892.99
"17H01735",724997.085,9679876.248,5,892.99
"17H01735",726393.4003,9679723.468,5,892.99
"17H01735",725645.102,9680968.534,5,892.99
