"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"17H00579",1,"0.775","0.55",0.144,15.3284671532847,2,720.44,"High","no",0.514,0.486
"17H00579",2,"0.775","0.55",0.14,15.3284671532847,2,720.44,"High","no",0.502,0.498
"17H00579",3,"0.775","0.55",0.178,15.3284671532847,2,720.44,"Low","yes",0.512,0.488
"17H00579",4,"0.7","0.4",0.176,15.3284671532847,2,720.44,"High","no",0.489,0.511
"17H00579",5,"0.625","0.25",0.228,15.3284671532847,2,720.44,"High","no",0.496,0.504
"17H00579",6,"0.3","-0.4",0.203,15.3284671532847,2,720.44,"High","no",0.493,0.507
"17H00579",7,"0.675","0.35",0.145,15.3284671532847,2,720.44,"High","no",0.473,0.527
"17H00579",8,"0.75","0.5",0.196,15.3284671532847,2,720.44,"High","no",0.508,0.492
"17H00579",9,"0.75","0.5",0.198,15.3284671532847,2,720.44,"Low","yes",0.503,0.497
