"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.25,3,0.45,1
2,NA,1,NA,NA
3,NA,NA,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
