"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"22H00393",1,"0.725","0.45",0.203,5.15815085158151,1,0,"Low","yes",0.503,0.497
"22H00393",2,"0.75","0.5",0.164,5.15815085158151,1,0,"Low","yes",0.494,0.506
"22H00393",3,"0.675","0.35",0.234,5.15815085158151,1,0,"High","no",0.503,0.497
"22H00393",4,"0.8","0.6",0.19,5.15815085158151,1,0,"Low","yes",0.505,0.495
"22H00393",5,NA,NA,NA,5.15815085158151,1,0,NA,NA,NA,NA
"22H00393",6,NA,NA,NA,5.15815085158151,1,0,NA,NA,NA,NA
"22H00393",7,NA,NA,NA,5.15815085158151,1,0,NA,NA,NA,NA
"22H00393",8,NA,NA,NA,5.15815085158151,1,0,NA,NA,NA,NA
"22H00393",9,"0.8","0.6",0.18,5.15815085158151,1,0,"High","no",0.496,0.504
