"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.175,11,0.275,6
2,0.2,8,0.275,4
3,0.175,4,0.325,2
4,0.3,3,0.325,1
5,NA,1,NA,NA
6,0.425,2,0.425,1
7,0.325,4,0.35,2
8,0.275,3,0.325,1
9,0.275,3,0.45,1
