"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"17H02646",1,NA,NA,NA,1.32603406326034,1,0,NA,NA,NA,NA
"17H02646",2,"0.625","0.25",0.227,1.32603406326034,1,0,"High","yes",0.506,0.494
"17H02646",3,"0.625","0.25",0.227,1.32603406326034,1,0,"High","yes",0.499,0.501
"17H02646",4,"0.7","0.4",0.223,1.32603406326034,1,0,"High","yes",0.495,0.505
"17H02646",5,NA,NA,NA,1.32603406326034,1,0,NA,NA,NA,NA
"17H02646",6,NA,NA,NA,1.32603406326034,1,0,NA,NA,NA,NA
"17H02646",7,NA,NA,NA,1.32603406326034,1,0,NA,NA,NA,NA
"17H02646",8,NA,NA,NA,1.32603406326034,1,0,NA,NA,NA,NA
"17H02646",9,"0.65","0.3",0.245,1.32603406326034,1,0,"Low","no",0.501,0.499
