"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"17H01735",1,"0.875","0.75",0.086,18.625304136253,5,892.99,"High","no",0.506,0.494
"17H01735",2,"0.8","0.6",0.137,18.625304136253,5,892.99,"High","no",0.519,0.481
"17H01735",3,"0.825","0.65",0.138,18.625304136253,5,892.99,"High","no",0.509,0.491
"17H01735",4,"0.675","0.35",0.233,18.625304136253,5,892.99,"Low","yes",0.5,0.5
"17H01735",5,"0.475","-0.05",0.232,18.625304136253,5,892.99,"Low","yes",0.498,0.502
"17H01735",6,"0.8","0.6",0.145,18.625304136253,5,892.99,"High","no",0.521,0.479
"17H01735",7,"0.675","0.35",0.233,18.625304136253,5,892.99,"Low","yes",0.504,0.496
"17H01735",8,"0.85","0.7",0.175,18.625304136253,5,892.99,"Low","yes",0.497,0.503
"17H01735",9,NA,NA,NA,18.625304136253,5,892.99,NA,NA,NA,NA
