"ID_ins","iter","kappa","var","meanImp","medianImp","minImp","maxImp","normHits"
"11H00105",1,0.8,"brobabe.1",11.3375106243885,12.3282550081842,3.22110193622216,15.1486818231917,0.95959595959596
"11H00105",1,0.8,"buclcbe.1",9.78470924930746,10.7385617080705,2.44879929004366,12.8140412436751,0.919191919191919
"11H00105",1,0.8,"capacbe.3",10.7780640606358,11.9345575403146,2.03612489201961,14.529320610271,0.929292929292929
"11H00105",1,0.8,"imprbbe.2",6.98680642501514,7.30458343918224,1.81172241880979,11.7990755310284,0.858585858585859
"11H00105",1,0.8,"inapbbe.1",6.13213420515291,6.47706941759266,0.742791494238342,9.92187978465758,0.787878787878788
"11H00105",2,0.35,"ppeebbe.3",6.68998339917492,7.45759106557365,-0.245303900142878,13.0791301213383,0.747474747474748
"11H00105",2,0.35,"prdibbe.3",9.31800436545354,10.1352559701412,1.28691263459085,13.8761148750256,0.909090909090909
"11H00105",3,0.4,"inapbbe.2",6.77484352763871,7.51721531778594,0.184371689822021,12.0808800051951,0.727272727272727
"11H00105",4,0.6,"atrsabe.1",10.0908934526715,11.4086668411211,-1.00100150250438,14.6884919828616,0.797979797979798
"11H00105",4,0.6,"imprbbe.1",13.1544732282494,14.3302262218191,0.201272894263704,21.1369950181448,0.868686868686869
"11H00105",5,0.8,"brobabe.2",8.48804932366126,9.79387980031494,-0.154346175933119,13.40860499962,0.818181818181818
"11H00105",5,0.8,"brobabe.3",8.13848900740356,9.21498227333224,-1.41705050316284,12.7284593598103,0.848484848484849
"11H00105",5,0.8,"ppeebbe.1",7.86096426378444,8.75917328765226,0.546798364524953,11.8685583220281,0.808080808080808
"11H00105",5,0.8,"ppeebbe.4",8.01177915461763,9.03350319322228,-0.711361499649581,14.146807126019,0.828282828282828
"11H00105",5,0.8,"uintabe.2",7.32648274974702,8.28683508282501,-0.662556837391604,11.0274097222396,0.797979797979798
"11H00105",6,NA,NA,NA,NA,NA,NA,NA
"11H00105",7,NA,NA,NA,NA,NA,NA,NA
"11H00105",8,0.65,"bvancbe.1",7.00258971738845,7.62630301140674,-1.21800191515508,12.7092232015276,0.737373737373737
"11H00105",8,0.65,"capacbe.4",9.00299434940574,9.96199918870901,-0.640617756448071,15.8418224461297,0.777777777777778
"11H00105",8,0.65,"uintabe.1",7.13381512539579,7.91618101382346,-1.00100150250438,12.1139118300777,0.727272727272727
"11H00105",9,NA,NA,NA,NA,NA,NA,NA
