"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"13H03066",1,"0.75","0.5",0.155,13.345498783455,2,508.89,"Low","no",0.532,0.468
"13H03066",2,"0.75","0.5",0.156,13.345498783455,2,508.89,"Low","no",0.51,0.49
"13H03066",3,"0.775","0.55",0.203,13.345498783455,2,508.89,"High","yes",0.497,0.503
"13H03066",4,"0.6","0.2",0.236,13.345498783455,2,508.89,"High","yes",0.496,0.504
"13H03066",5,"0.825","0.65",0.155,13.345498783455,2,508.89,"High","yes",0.486,0.514
"13H03066",6,NA,NA,NA,13.345498783455,2,508.89,NA,NA,NA,NA
"13H03066",7,NA,NA,NA,13.345498783455,2,508.89,NA,NA,NA,NA
"13H03066",8,"0.375","-0.25",0.21,13.345498783455,2,508.89,"High","yes",0.502,0.498
"13H03066",9,NA,NA,NA,13.345498783455,2,508.89,NA,NA,NA,NA
