"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.25,9,0.25,4
2,0.225,5,0.35,2
3,0.225,2,0.35,1
4,NA,1,NA,NA
5,0.2,4,0.375,2
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,0.4,2,0.4,1
9,NA,NA,NA,NA
