"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"21H00321",1,"0.85","0.7",0.121,16.4841849148418,3,787.01,"High","no",0.532,0.468
"21H00321",2,"0.8","0.6",0.171,16.4841849148418,3,787.01,"Low","yes",0.498,0.502
"21H00321",3,"0.75","0.5",0.194,16.4841849148418,3,787.01,"Low","yes",0.508,0.492
"21H00321",4,"0.7","0.4",0.228,16.4841849148418,3,787.01,"Low","yes",0.497,0.503
"21H00321",5,"0.625","0.25",0.188,16.4841849148418,3,787.01,"Low","yes",0.498,0.502
"21H00321",6,NA,NA,NA,16.4841849148418,3,787.01,NA,NA,NA,NA
"21H00321",7,NA,NA,NA,16.4841849148418,3,787.01,NA,NA,NA,NA
"21H00321",8,"0.675","0.35",0.24,16.4841849148418,3,787.01,"High","no",0.505,0.495
"21H00321",9,NA,NA,NA,16.4841849148418,3,787.01,NA,NA,NA,NA
