"ID_ins","iter","kappa","var","meanImp","medianImp","minImp","maxImp","normHits"
"17H01128",1,0.25,"hambabe.2",11.2127849218772,12.07108490509,0.426219225415646,22.9204866996972,0.728395061728395
"17H01128",2,0.4,"roalbbe.2",8.98688414390702,9.00583320719762,0.0724493027719556,18.2674861242274,0.818181818181818
"17H01128",3,0.4,"perdbbe.3",6.99832753525043,6.79692707069489,-0.0767571486738545,15.6000116709898,0.747474747474748
"17H01128",4,NA,NA,NA,NA,NA,NA,NA
"17H01128",5,NA,NA,NA,NA,NA,NA,NA
"17H01128",6,NA,NA,NA,NA,NA,NA,NA
"17H01128",7,NA,NA,NA,NA,NA,NA,NA
"17H01128",8,NA,NA,NA,NA,NA,NA,NA
"17H01128",9,NA,NA,NA,NA,NA,NA,NA
