"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.075,9,0.125,4
2,NA,1,NA,NA
3,NA,1,NA,NA
4,0.3,3,0.4,1
5,NA,1,NA,NA
6,NA,1,NA,NA
7,NA,1,NA,NA
8,NA,1,NA,NA
9,0.275,3,0.55,1
