"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.25,2,0.375,1
2,NA,NA,NA,NA
3,NA,NA,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,0.25,2,0.4,1
9,NA,NA,NA,NA
