"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"17H00579",1,"0.925","0.85",0.085,17.3496240601504,2,720.44,"Low","yes",0.49,0.51
"17H00579",2,"0.775","0.55",0.137,17.3496240601504,2,720.44,"High","no",0.505,0.495
"17H00579",3,"0.75","0.5",0.161,17.3496240601504,2,720.44,"Low","yes",0.531,0.469
"17H00579",4,"0.675","0.35",0.238,17.3496240601504,2,720.44,"Low","yes",0.507,0.493
"17H00579",5,"0.625","0.25",0.243,17.3496240601504,2,720.44,"High","no",0.502,0.498
"17H00579",6,"0.6","0.2",0.236,17.3496240601504,2,720.44,"Low","yes",0.505,0.495
"17H00579",7,"0.75","0.5",0.206,17.3496240601504,2,720.44,"Low","yes",0.503,0.497
"17H00579",8,"0.6","0.2",0.236,17.3496240601504,2,720.44,"Low","yes",0.508,0.492
"17H00579",9,"0.825","0.65",0.185,17.3496240601504,2,720.44,"Low","yes",0.506,0.494
