"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.275,10,0.275,5
2,0.175,5,0.35,2
3,NA,1,NA,NA
4,NA,NA,NA,NA
5,NA,1,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,0.225,4,0.375,2
9,0.35,2,0.35,1
