"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"22H00393",1,"0.8","0.6",0.168,11.4097744360902,1,0,"High","no",0.502,0.498
"22H00393",2,"0.65","0.3",0.221,11.4097744360902,1,0,"High","no",0.491,0.509
"22H00393",3,"0.65","0.3",0.199,11.4097744360902,1,0,"High","no",0.497,0.503
"22H00393",4,"0.675","0.35",0.243,11.4097744360902,1,0,"Low","yes",0.502,0.498
"22H00393",5,"0.75","0.5",0.211,11.4097744360902,1,0,"High","no",0.502,0.498
"22H00393",6,NA,NA,NA,11.4097744360902,1,0,NA,NA,NA,NA
"22H00393",7,NA,NA,NA,11.4097744360902,1,0,NA,NA,NA,NA
"22H00393",8,"0.675","0.35",0.245,11.4097744360902,1,0,"Low","yes",0.504,0.496
"22H00393",9,NA,NA,NA,11.4097744360902,1,0,NA,NA,NA,NA
