"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.075,22,0.125,11
2,0.2,6,0.325,3
3,0.225,6,0.3,3
4,NA,1,NA,NA
5,NA,1,NA,NA
6,NA,1,NA,NA
7,0.25,2,0.4,1
8,0.4,2,0.4,1
9,0.175,3,0.375,1
