"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.15,8,0.25,4
2,0.15,4,0.275,2
3,NA,1,NA,NA
4,0.25,3,0.4,1
5,0.325,4,0.325,2
6,0.275,2,0.45,1
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
