"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.2,3,0.525,1
2,0.225,2,0.35,1
3,0.325,2,0.45,1
4,0.25,3,0.425,1
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
