"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"08H00371",1,"0.75","0.5",0.179,0,1,0,"Low","no",0.492,0.508
"08H00371",2,"0.775","0.55",0.192,0,1,0,"High","yes",0.497,0.503
"08H00371",3,"0.75","0.5",0.18,0,1,0,"Low","no",0.5,0.5
"08H00371",4,"0.625","0.25",0.245,0,1,0,"High","yes",0.497,0.503
"08H00371",5,"0.2","-0.6",0.218,0,1,0,"Low","no",0.505,0.495
"08H00371",6,NA,NA,NA,0,1,0,NA,NA,NA,NA
"08H00371",7,NA,NA,NA,0,1,0,NA,NA,NA,NA
"08H00371",8,NA,NA,NA,0,1,0,NA,NA,NA,NA
"08H00371",9,NA,NA,NA,0,1,0,NA,NA,NA,NA
