"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"11H00105",1,"0.775","0.55",0.134,1.15288220551378,1,0,"Low","yes",0.49,0.51
"11H00105",2,"0.85","0.7",0.156,1.15288220551378,1,0,"Low","yes",0.508,0.492
"11H00105",3,"0.675","0.35",0.226,1.15288220551378,1,0,"Low","yes",0.497,0.503
"11H00105",4,"0.75","0.5",0.186,1.15288220551378,1,0,"Low","yes",0.51,0.49
"11H00105",5,"0.6","0.2",0.192,1.15288220551378,1,0,"High","no",0.506,0.494
"11H00105",6,"0.725","0.45",0.214,1.15288220551378,1,0,"High","no",0.497,0.503
"11H00105",7,NA,NA,NA,1.15288220551378,1,0,NA,NA,NA,NA
"11H00105",8,NA,NA,NA,1.15288220551378,1,0,NA,NA,NA,NA
"11H00105",9,NA,NA,NA,1.15288220551378,1,0,NA,NA,NA,NA
