"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.3,2,0.375,1
2,0.225,2,0.4,1
3,0.25,3,0.425,1
4,NA,1,NA,NA
5,0.45,2,0.425,1
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
