"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.2,2,0.35,1
2,NA,1,NA,NA
3,0.3,3,0.375,1
4,NA,1,NA,NA
5,0.25,2,0.45,1
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,1,NA,NA
9,NA,NA,NA,NA
