"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"17H01735",1,"0.925","0.85",0.101,19.5614035087719,5,892.99,"High","no",0.504,0.496
"17H01735",2,"0.65","0.3",0.234,19.5614035087719,5,892.99,"Low","yes",0.502,0.498
"17H01735",3,"0.675","0.35",0.233,19.5614035087719,5,892.99,"High","no",0.494,0.506
"17H01735",4,"0.475","-0.05",0.177,19.5614035087719,5,892.99,"Low","yes",0.505,0.495
"17H01735",5,"0.625","0.25",0.229,19.5614035087719,5,892.99,"Low","yes",0.508,0.492
"17H01735",6,"0.625","0.25",0.258,19.5614035087719,5,892.99,"Low","yes",0.504,0.496
"17H01735",7,"0.625","0.25",0.244,19.5614035087719,5,892.99,"Low","yes",0.493,0.507
"17H01735",8,"0.65","0.3",0.234,19.5614035087719,5,892.99,"Low","yes",0.491,0.509
"17H01735",9,"0.8","0.6",0.198,19.5614035087719,5,892.99,"Low","yes",0.503,0.497
