"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.125,23,0.2,12
2,0.2,11,0.3,6
3,0.225,2,0.4,1
4,0.2,12,0.275,6
5,0.25,2,0.45,1
6,0.2,3,0.4,1
7,NA,1,NA,NA
8,0.275,3,0.475,1
9,0.175,3,0.55,1
