"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.125,8,0.325,4
2,0.3,6,0.35,3
3,0.35,4,0.425,2
4,0.25,2,0.425,1
5,0.3,3,0.45,1
6,NA,1,NA,NA
7,NA,NA,NA,NA
8,0.175,4,0.4,2
9,0.175,3,0.45,1
