"ID_ins","iter","kappa","var","meanImp","medianImp","minImp","maxImp","normHits"
"17H00755",1,NA,NA,NA,NA,NA,NA,NA
"17H00755",2,0.55,"cdudgbe.1",6.75910527102467,7.14413451398945,0.487987991537676,12.8258816309259,0.717171717171717
"17H00755",2,0.55,"cdudgbe.2",6.698712402526,7.10331551724539,-0.664859632704572,13.0871181844791,0.707070707070707
"17H00755",2,0.55,"nedugbe.5",10.6482555933385,11.5134271367921,-0.339429229974551,16.9512723973124,0.828282828282828
"17H00755",3,0.5,"carrbbe.3",11.9950682028117,13.2262946403238,-0.512465905423544,21.3984265492169,0.767676767676768
"17H00755",3,0.5,"reppabe.1",8.72442596204384,9.33954056737312,-0.180272527479813,18.698639802435,0.707070707070707
"17H00755",4,NA,NA,NA,NA,NA,NA,NA
"17H00755",5,NA,NA,NA,NA,NA,NA,NA
"17H00755",6,NA,NA,NA,NA,NA,NA,NA
"17H00755",7,NA,NA,NA,NA,NA,NA,NA
"17H00755",8,NA,NA,NA,NA,NA,NA,NA
"17H00755",9,NA,NA,NA,NA,NA,NA,NA
