"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.075,15,0.125,8
2,0.2,8,0.25,2
3,0.225,5,0.35,2
4,0.175,5,0.325,2
5,NA,1,NA,NA
6,0.175,3,0.45,1
7,0.25,3,0.45,1
8,NA,1,NA,NA
9,NA,1,NA,NA
