"iter","cvAll","nvarAll","cvMin","nvarMin"
1,NA,NA,NA,NA
2,0.275,3,0.425,1
3,0.25,2,0.425,1
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
