"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"22H00393",1,"0.85","0.7",0.135,6.1878453038674,1,0,"Low","yes",0.516,0.484
"22H00393",2,"0.625","0.25",0.228,6.1878453038674,1,0,"Low","yes",0.502,0.498
"22H00393",3,NA,NA,NA,6.1878453038674,1,0,NA,NA,NA,NA
"22H00393",4,"0.65","0.3",0.234,6.1878453038674,1,0,"Low","yes",0.502,0.498
"22H00393",5,NA,NA,NA,6.1878453038674,1,0,NA,NA,NA,NA
"22H00393",6,NA,NA,NA,6.1878453038674,1,0,NA,NA,NA,NA
"22H00393",7,NA,NA,NA,6.1878453038674,1,0,NA,NA,NA,NA
"22H00393",8,NA,NA,NA,6.1878453038674,1,0,NA,NA,NA,NA
"22H00393",9,NA,NA,NA,6.1878453038674,1,0,NA,NA,NA,NA
