"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.225,7,0.2,4
2,0.2,5,0.35,2
3,0.175,3,0.425,1
4,NA,1,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,0.25,2,0.35,1
8,NA,NA,NA,NA
9,NA,NA,NA,NA
