"ID_ins","iter","kappa","var","meanImp","medianImp","minImp","maxImp","normHits"
"08H00371",1,0.4,"bmatabe.3",6.79854769535326,7.14274035638512,0.336593784330462,12.6431997775029,0.717171717171717
"08H00371",2,0.25,"dccarbe.5",8.53242492523558,9.27607932910013,-0.522761284537972,16.8178097179821,0.8
"08H00371",2,0.25,"mdudabe.1",6.66134829447402,7.3878942497013,0.867707053039344,14.3030319066311,0.742857142857143
"08H00371",2,0.25,"mdudabe.2",6.52261371610959,7.13447587045088,0.557172233661314,12.1073504402751,0.757142857142857
"08H00371",3,0.4,"bmatabe.2",8.42589523118867,8.744752650066,-0.501419701393798,16.0196947681932,0.737373737373737
"08H00371",4,NA,NA,NA,NA,NA,NA,NA
"08H00371",5,NA,NA,NA,NA,NA,NA,NA
"08H00371",6,NA,NA,NA,NA,NA,NA,NA
"08H00371",7,NA,NA,NA,NA,NA,NA,NA
"08H00371",8,0.55,"htardbe.5",8.86420082508039,9.87586340348637,-0.287371614477491,15.2253671731203,0.818181818181818
"08H00371",8,0.55,"lduddbe.2",11.1549028774821,12.5843515931806,-0.613251232290737,19.2349994034265,0.848484848484849
"08H00371",9,NA,NA,NA,NA,NA,NA,NA
