"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"08H00371",1,"0.7","0.4",0.223,0,1,0,"High","yes",0.502,0.498
"08H00371",2,"0.625","0.25",0.205,0,1,0,"Low","no",0.497,0.503
"08H00371",3,"0.7","0.4",0.228,0,1,0,"High","yes",0.5,0.5
"08H00371",4,NA,NA,NA,0,1,0,NA,NA,NA,NA
"08H00371",5,NA,NA,NA,0,1,0,NA,NA,NA,NA
"08H00371",6,NA,NA,NA,0,1,0,NA,NA,NA,NA
"08H00371",7,NA,NA,NA,0,1,0,NA,NA,NA,NA
"08H00371",8,"0.775","0.55",0.203,0,1,0,"High","yes",0.502,0.498
"08H00371",9,NA,NA,NA,0,1,0,NA,NA,NA,NA
