"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.2,6,0.3,3
2,0.2,2,0.5,1
3,NA,NA,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,1,NA,NA
