"iter","cvAll","nvarAll","cvMin","nvarMin"
1,NA,1,NA,NA
2,0.3,3,0.375,1
3,NA,1,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,0.225,2,0.425,1
9,NA,NA,NA,NA
