"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"17H01128",1,"0.8","0.6",0.191,1.29834254143646,1,0,"Low","yes",0.503,0.497
"17H01128",2,"0.85","0.7",0.178,1.29834254143646,1,0,"Low","yes",0.504,0.496
"17H01128",3,"0.65","0.3",0.235,1.29834254143646,1,0,"High","no",0.499,0.501
"17H01128",4,NA,NA,NA,1.29834254143646,1,0,NA,NA,NA,NA
"17H01128",5,NA,NA,NA,1.29834254143646,1,0,NA,NA,NA,NA
"17H01128",6,NA,NA,NA,1.29834254143646,1,0,NA,NA,NA,NA
"17H01128",7,NA,NA,NA,1.29834254143646,1,0,NA,NA,NA,NA
"17H01128",8,NA,NA,NA,1.29834254143646,1,0,NA,NA,NA,NA
"17H01128",9,NA,NA,NA,1.29834254143646,1,0,NA,NA,NA,NA
