"ID_ins","iter","acc","kappa","brier","naPerc","linkObs","linkDist","pred","fail","Low","High"
"13H03066",1,"0.725","0.45",0.149,16.0773480662983,2,508.89,"Low","no",0.503,0.497
"13H03066",2,"0.8","0.6",0.148,16.0773480662983,2,508.89,"Low","no",0.514,0.486
"13H03066",3,"0.775","0.55",0.183,16.0773480662983,2,508.89,"Low","no",0.5,0.5
"13H03066",4,"0.7","0.4",0.232,16.0773480662983,2,508.89,"Low","no",0.496,0.504
"13H03066",5,NA,NA,NA,16.0773480662983,2,508.89,NA,NA,NA,NA
"13H03066",6,NA,NA,NA,16.0773480662983,2,508.89,NA,NA,NA,NA
"13H03066",7,"0.75","0.5",0.204,16.0773480662983,2,508.89,"Low","no",0.502,0.498
"13H03066",8,NA,NA,NA,16.0773480662983,2,508.89,NA,NA,NA,NA
"13H03066",9,NA,NA,NA,16.0773480662983,2,508.89,NA,NA,NA,NA
