"iter","cvAll","nvarAll","cvMin","nvarMin"
1,0.175,7,0.325,4
2,NA,1,NA,NA
3,NA,NA,NA,NA
4,NA,1,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,0.225,2,0.425,1
9,NA,NA,NA,NA
